source,pollster,release_date,population,metric,candidate,value_pct,source_url,notes,last_updated
PPP/Senate Majority PAC,Public Policy Polling,2026-03-05,general electorate,favorable,Cornyn,25.0,https://senatemajority.com/wp-content/uploads/signal-2026-03-06-122044.pdf,General electorate favorability.,2026-05-12
PPP/Senate Majority PAC,Public Policy Polling,2026-03-05,general electorate,unfavorable,Cornyn,53.0,https://senatemajority.com/wp-content/uploads/signal-2026-03-06-122044.pdf,General electorate favorability.,2026-05-12
PPP/Senate Majority PAC,Public Policy Polling,2026-03-05,Trump voters,decline_to_vote_for_candidate,Paxton,19.0,https://senatemajority.com/wp-content/uploads/signal-2026-03-06-122044.pdf,Trump-voter general-election defection risk.,2026-05-12
PPP/Senate Majority PAC,Public Policy Polling,2026-03-05,Trump voters,decline_to_vote_for_candidate,Cornyn,25.0,https://senatemajority.com/wp-content/uploads/signal-2026-03-06-122044.pdf,Trump-voter general-election defection risk.,2026-05-12
Tavern Research,Tavern Research,2026-02-14,independent registered voters,better_senator_after_republican_messaging,Paxton,20.0,https://static1.squarespace.com/static/686b269a2105425a3d1bd533/t/699f215982c1343c2cef2102/1772036441326/Tavern%2BResearch%2BReport%2BSummary_Texas%2BDebate%2B02.14.26.pdf,Independent-voter issue/messaging test; not a GOP runoff electorate.,2026-05-12
Tavern Research,Tavern Research,2026-02-14,independent registered voters,better_senator_after_republican_messaging,Cornyn,38.0,https://static1.squarespace.com/static/686b269a2105425a3d1bd533/t/699f215982c1343c2cef2102/1772036441326/Tavern%2BResearch%2BReport%2BSummary_Texas%2BDebate%2B02.14.26.pdf,"Independent-voter issue/messaging test; Hunt led at 41%, Cornyn 38%, Paxton 20%.",2026-05-12
Tavern Research,Tavern Research,2026-02-14,independent registered voters,post_content_general_matchup_average,Paxton,41.8,https://static1.squarespace.com/static/686b269a2105425a3d1bd533/t/699f215982c1343c2cef2102/1772036441326/Tavern%2BResearch%2BReport%2BSummary_Texas%2BDebate%2B02.14.26.pdf,Average GOP vote share in six independent-voter general-election matchups after content exposure; context only.,2026-05-12
Tavern Research,Tavern Research,2026-02-14,independent registered voters,post_content_general_matchup_average,Cornyn,43.4,https://static1.squarespace.com/static/686b269a2105425a3d1bd533/t/699f215982c1343c2cef2102/1772036441326/Tavern%2BResearch%2BReport%2BSummary_Texas%2BDebate%2B02.14.26.pdf,Average GOP vote share in six independent-voter general-election matchups after content exposure; context only.,2026-05-12
UpOne Insights,UpOne Insights,2025-06-03,GOP primary voters,favorable,Paxton,65.0,https://amgreatness.com/2025/06/03/paxton-smokes-cornyn-50-28-percent-in-latest-2026-gop-primary-poll/,Favorability reported from early UpOne survey.,2026-05-12
UpOne Insights,UpOne Insights,2025-06-03,GOP primary voters,favorable,Cornyn,48.0,https://amgreatness.com/2025/06/03/paxton-smokes-cornyn-50-28-percent-in-latest-2026-gop-primary-poll/,Favorability reported from early UpOne survey.,2026-05-12
University of Houston Hobby School May,University of Houston Hobby School,2026-05-05,GOP runoff voters,favorable,Paxton,50.0,https://www.texastribune.org/wp-content/uploads/2026/05/UH-GOP-runoff-poll.pdf,Latest UH likely runoff voter favorability.,2026-05-12
University of Houston Hobby School May,University of Houston Hobby School,2026-05-05,GOP runoff voters,unfavorable,Paxton,43.0,https://www.texastribune.org/wp-content/uploads/2026/05/UH-GOP-runoff-poll.pdf,Latest UH likely runoff voter favorability.,2026-05-12
University of Houston Hobby School May,University of Houston Hobby School,2026-05-05,GOP runoff voters,favorable,Cornyn,47.0,https://www.texastribune.org/wp-content/uploads/2026/05/UH-GOP-runoff-poll.pdf,Latest UH likely runoff voter favorability.,2026-05-12
University of Houston Hobby School May,University of Houston Hobby School,2026-05-05,GOP runoff voters,unfavorable,Cornyn,49.0,https://www.texastribune.org/wp-content/uploads/2026/05/UH-GOP-runoff-poll.pdf,Latest UH likely runoff voter favorability.,2026-05-12
University of Houston Hobby School May,University of Houston Hobby School,2026-05-05,GOP runoff voters,stronger_general_candidate,Paxton,43.0,https://www.texastribune.org/wp-content/uploads/2026/05/UH-GOP-runoff-poll.pdf,Likely runoff voters split evenly on stronger Republican general-election candidate against Talarico.,2026-05-12
University of Houston Hobby School May,University of Houston Hobby School,2026-05-05,GOP runoff voters,stronger_general_candidate,Cornyn,43.0,https://www.texastribune.org/wp-content/uploads/2026/05/UH-GOP-runoff-poll.pdf,Likely runoff voters split evenly on stronger Republican general-election candidate against Talarico.,2026-05-12
